"Word","Translation"
"Default will display the extra field when opening an item (eg: opening a customer). If a user can view the customer they will be able to view the extra field information when viewing the customer. Public In Column means that this extra field will also display in the overall listing (eg: customer listing). More options coming soon (eg: private)","Standard zeigt das zusätzliche Feld beim Öffnen eines Elements (zB: Eröffnung eines Kundenkontos). Wenn ein Benutzer den Kunden einsehen können sie in der Lage, die zusätzliche Informationen über ein Feld sehen, wenn sich der Kunde. Öffentliche In Spalte bedeutet, dass diese Extra-Feld wird auch in der gesamten Auflistung angezeigt (zB: Kunden Listing). Weitere Optionen in Kürze (zB: privat)"
"del","del"
"Delete","Löschen"
"Delete failed double-opt-in members","Delete failed double-opt-in members"
"Delete invoice item?","Löschen Rechnungsposition?"
"Delete invoice payment?","Löschen Bezahlung der Rechnung?"
"Delete selected invoices","Delete selected invoices"
"Delete selected products","Delete selected products"
"Delete selected tickets","Delete selected tickets"
"Delete Send","Delete Send"
"Delete Task?","Aufgabe löschen"
"Delete these members","Löschen Sie diese Mitglieder"
"deposit","deposit"
"Deposit for job: %s","Kaution für Job:%s"
"Deposit from invoice %s","Deposit from invoice %s"
"Deposit Invoice","Deposit Invoice"
"Deposit Invoice: %s paid on %s","Deposit Invoice: %s paid on %s"
"Deposit:","Deposit:"
"Description","Beschreibung"
"Description to use instead of the automatically generated one from the Link page","Description to use instead of the automatically generated one from the Link page"
"Details","Details"
"Disabled & Hidden","Deaktiviert & Versteckt"
"Disabled & Shown","Deaktiviert & Dargestellt"
"Discount Amount","Discount Amount"
"Discount Name","Discount Name"
"Discount Type","Discount Type"
"Discount:","Ermäßigung:"
"Display Type","Bildschirm-Typ"
"Do you confirm to delete this event?","Do you confirm to delete this event?"
"Do you want to all repeat events or only this event? \r\nClick [OK] to delete only this event, click [Cancel] delete all events","Do you want to all repeat events or only this event? \r\nClick [OK] to delete only this event, click [Cancel] delete all events"
"Domain","Domain"
"Domain name","Domain name"
"Don't worry if you make a mistake, you can cancel or change this request later.","Mach dir keine Sorgen, wenn Sie einen Fehler machen, können Sie ändern oder stornieren diese Anforderung später."
"Done","Fertig"
"Done Date","Geschehen Datum"
"Download","Download"
"Drafts <span class='label label-info'>451</span> ","Drafts <span class='label label-info'>451</span> "
"Drafts <span class='label label-info'>452</span> ","Drafts <span class='label label-info'>452</span> "
"Drafts <span class='label label-info'>454</span> ","Drafts <span class='label label-info'>454</span> "
"Drafts <span class='label label-info'>455</span> ","Drafts <span class='label label-info'>455</span> "
"Drafts <span class='label label-info'>456</span> ","Drafts <span class='label label-info'>456</span> "
"Drafts <span class='label label-info'>457</span> ","Drafts <span class='label label-info'>457</span> "
"Drafts <span class='menu_label'>1</span> ","Drafts <span class='menu_label'>1</span> "
"Drafts <span class='menu_label'>451</span> ","Drafts <span class='menu_label'>451</span> "
"Drafts <span class='menu_label'>454</span> ","Drafts <span class='menu_label'>454</span> "
"Drafts <span class='menu_label'>455</span> ","Drafts <span class='menu_label'>455</span> "
"Drafts <span class='menu_label'>456</span> ","Drafts <span class='menu_label'>456</span> "
"Drafts <span class='menu_label'>457</span> ","Drafts <span class='menu_label'>457</span> "
"due","fällig"
"Due Date","Datum der Fälligkeit"
"Due Date:","Due Date:"
"Due:","Due:"
"Due: ","Due: "
"Duplicate","Duplizieren"
"Duplicates","Duplikate"
"Dynamic Fields:","Dynamische Felder:"
"e.g., meeting at room 107","e.g., meeting at room 107"
"Each Data Fieldset will contain a set of fields (eg: input or radio select boxes). Create a new fieldset to begin.","Each Data Fieldset will contain a set of fields (eg: input or radio select boxes). Create a new fieldset to begin."
"Edit","Bearbeiten"
"edit","bearbeiten"
"Edit Address","Adresse bearbeiten"
"Edit Currency","Edit Currency"
"Edit details","Edit details"
"Edit Details","Nähere bearbeiten"
"Edit Event","Edit Event"
"Edit Extra Default Field","Bearbeiten Zusätzliche Standardfeldvorlagen"
"Edit FAQ","Bearbeiten FAQ"
"Edit FAQ Product","Bearbeiten FAQ Produkt"
"Edit group","Edit Group"
"Edit Profile","Edit Profile"
"Edit Template","Vorlage bearbeiten"
"Edit template: %s","Vorlage bearbeiten:%s"
"Edit transaction","Bearbeiten Transaktion"
"Editor","Editor"
"EFB test DataFlildset","EFB test DataFlildset"
"eg: A4 or Letter","eg: A4 or Letter"
"Email","E-Mail"
"Email Address","Email-Adresse"
"Email BCC","Email BCC"
"Email CC","Email CC"
"Email Change Request: %s","Email Change Request:%s"
"Email Change Request: http://localhost/testsite/","Email Change Request: http://localhost/testsite/"
"Email client letting them know this change has been completed.","E-Mail-Client ließ sie wissen, diese Änderung ist abgeschlossen."
"Email Credit Note","Email Gutschrift"
"Email Details","E-Mail Details"
"Email For Approval","Email For Approval"
"Email Invoice","E-Mail Rechnung"
"Email Invoice: %s","E-Mail Rechnung:%s"
"Email Invoice: 111122Bdd","Email Invoice: 111122Bdd"
"Email Invoice: 130224","Email Invoice: 130224"
"Email Invoice: CO130303","E-Mail Rechnung: CO130303"
"Email Job","Email Job"
"Email Overdue Notice","Email Mahnung"
"Email Preview","Email Preview"
"Email preview sent successfully","Email preview sent successfully"
"Email Quote","Email Quote"
"Email Quote: %s","Email Quote: %s"
"Email Receipt","Email Receipt"
"Email sent successfully","Email sent successfully"
"Email Settings (SMTP)","E-Mail-Einstellungen (SMTP)"
"Email Staff","Email Staff"
"Email staff (%s - %s tasks)","Email Mitarbeiter (%s -%s Aufgaben)"
"Email Subject","E-Mail-Betreff:"
"Email Subject:","Email Subject:"
"Email this Job to Customer","Email Diese Suche an Kunden"
"Emails","Emails"
"Embed Ticket Form","Einbetten Ticket Formular"
"Enable Changes","Aktivieren Änderungen"
"Encrypt and Save","Verschlüsseln und Speichern"
"Encrypted successfully! Saving...","Verschlüsselte erfolgreich! Wird gespeichert..."
"Encrypted Value:","Verschlüsselte Wert:"
"Encryption","Verschlüsselung"
"Encryption Vault:","Encryption Vault:"
"End","End"
"End Date","Enddatum"
"End Time","End Time"
"English Word","English Word"
"Enter a dollar value here to create a deposit invoice for this job. Also supports entering a percentage (eg: 20%%)","Enter a dollar value here to create a deposit invoice for this job. Also supports entering a percentage (eg: 20%%)"
"Enter a list of email addresses here (comma separated) and this ticket message will be blind carbon copied to these recipients. These recipients can reply to the ticket and their reply will appeear here in the ticketing system if you have POP3/IMAP setup correctly.","Enter a list of email addresses here (comma separated) and this ticket message will be blind carbon copied to these recipients. These recipients can reply to the ticket and their reply will appeear here in the ticketing system if you have POP3/IMAP setup correctly."
"Enter a list of email addresses here (comma separated) and this ticket message will be carbon copied to these recipients.  These recipients can reply to the ticket and their reply will appeear here in the ticketing system if you have POP3/IMAP setup correctly.","Enter a list of email addresses here (comma separated) and this ticket message will be carbon copied to these recipients.  These recipients can reply to the ticket and their reply will appeear here in the ticketing system if you have POP3/IMAP setup correctly."
"Enter a manual job ""percent completed"" here and this will be used instead of the automatically calculated value.","Enter a manual job ""percent completed"" here and this will be used instead of the automatically calculated value."
"Enter anything you like in this blank field. eg: Passwords, Links, Notes, etc..","Geben Sie, was Sie wollen in diesem leere Feld. zB: Passwörter, Links, Notizen, etc.."
"Enter Passphrase:","Passwort eingeben:"
"Enter the hour of day (eg: 7 for 7am, 14 for 2pm) to perform automatic actions - such as renewing invoices, subscriptions, overdue notices, etc...","Enter the hour of day (eg: 7 for 7am, 14 for 2pm) to perform automatic actions - such as renewing invoices, subscriptions, overdue notices, etc..."
"Enter Your Message:","Geben Sie Ihre Nachricht:"
"Enter your username and password","Enter your username and password"
"Envato","Envato"
"Envato Failure","Envato Failure"
"Envato Integration","Envato Integration"
"Envato Item","Envato Artikel"
"Envato Settings","Envato Einstellungen"
"Envato Support","Envato Unterstützung"
"Envato:","Envato:"
"etc...","etc."
"Event","Event"
"Event title can not be blank or contains ($<>)","Event title can not be blank or contains ($<>)"
"Every %s","Jedes%s"
"Every %s between %s and %s","Jedes%s zwischen%s und%s"
"Every %s days, %s months and %s years between %s and %s","Alle%s Tage,%s Monate und%s Jahr zwischen%s und%s"
"Every time an invoice is generated for this customer the INVOICE NUMBER will be prefixed with this value.","Jedes Mal, wenn eine Rechnung für diesen Kunden die Rechnungsnummer generiert wird mit diesem Wert vorangestellt werden."
"Everyone","Everyone"
"Everything","Alle"
"Example","Beispiel"
"Example: $ or &pound;","Beispiel: $ oder £"
"Example: 0.30 do not enter $ sign","Example: 0.30 do not enter $ sign"
"Example: 1.5 do not enter %% sign","Example: 1.5 do not enter %% sign"
"Example: 1.5 do not enter $ sign","Example: 1.5 do not enter $ sign"
"Example: 2.9 do not enter %% sign","Example: 2.9 do not enter %% sign"
"Example: es or de","Example: es or de"
"Example: Spanish or German;","Example: Spanish or German;"
"Example: USD or AUD","Beispiel: USD oder AUD"
"Exception when getting data","Exception when getting data"
"Expense","Ausgabe"
"Expense/Debit","Expense / Debit"
"Expenses","Expenses"
"Expenses for 30/01/2012 to 06/02/2012","Expenses for 30/01/2012 to 06/02/2012"
"export","export"
"Export all results as PDF","Exportieren Sie alle Ergebnisse als PDF"
"Export all these results:","Exportieren Sie alle diese Ergebnisse:"
"Export CSV","Export CSV"
"Export CSV File","Export CSV-Datei"
"Export Tasks","Export Aufgaben"
"External","Extern"
"External Customer Link","External Customer Link"
"Extra Details","Extra Details"
"Extra Field","Zusätzliches Feld"
"Extra field deleted successfully.","Extra field deleted successfully."
"Extra field saved successfully","Extra field saved successfully"
"Extra Fields","Zusätzliche Felder"
"Extra Information","Zusätzliche Informationen"
"Facebook","Facebook"
"Facebook Account","Facebook Account"
"Facebook Account Name","Facebook Account Name"
"Facebook Accounts","Facebook Accounts"
"Facebook Page","Facebook Page"
"Failures","Failures"
"FAQ","FAQ"
"FAQ Product","FAQ Produkt"
"FAQ Products","FAQ Produkte"
"FAQs","FAQs"
"Fax","Fax"
"Feb","Feb."
"February","Februar"
"Field Name","Field Name"
"Field Type","Field Type"
"Fields","Fields"
"File","File"
"File Comments","Datei Kommentare"
"File Description","Datei Beschreibung"
"File Details","File Details"
"File Emails","File Emails"
"File has not been sent for approval.","File has not been sent for approval."
"File is waiting for approval. Please <a href=""%s"" target=""_blank"">click here</a> for options.","File is waiting for approval. Please <a href=""%s"" target=""_blank"">click here</a> for options."
"File Name","Dateiname"
"File Name / Description:","File Name / Beschreibung:"
"File saved successfully","File saved successfully"
"File Size","Dateigröße"
"File URL","File URL"
"File: ","File: "
"File: %s","Datei(en)"
"Files","Dateien"
"Files <span class='label label-info'>1</span> ","Files <span class='label label-info'>1</span> "
"Files <span class='label label-info'>101</span> ","Files <span class='label label-info'>101</span> "
"Files <span class='label label-info'>102</span> ","Files <span class='label label-info'>102</span> "
"Files <span class='label label-info'>103</span> ","Files <span class='label label-info'>103</span> "
"Files <span class='label label-info'>104</span> ","Files <span class='label label-info'>104</span> "
"Files <span class='label label-info'>105</span> ","Files <span class='label label-info'>105</span> "
"Files <span class='label label-info'>2</span> ","Files <span class='label label-info'>2</span> "
"Files <span class='label label-info'>3</span> ","Files <span class='label label-info'>3</span> "
"Files <span class='label label-info'>5</span> ","Files <span class='label label-info'>5</span> "
"Files <span class='menu_label'>1</span> ","Files <span class='menu_label'>1</span> "
"Files <span class='menu_label'>101</span> ","Files <span class='menu_label'>101</span> "
"Files <span class='menu_label'>104</span> ","Files <span class='menu_label'>104</span> "
"Files <span class='menu_label'>105</span> ","Files <span class='menu_label'>105</span> "
"Files <span class='menu_label'>2</span> ","Files <span class='menu_label'>2</span> "
"Files <span class='menu_label'>3</span> ","Files <span class='menu_label'>3</span> "
"Files <span class='menu_label'>5</span> ","Files <span class='menu_label'>5</span> "
"Filter By:","Filtern nach"
"Finance","Finanzen"
"Financial Transactions","Finanzielle Transaktionen"
"Fine Tune Permissions","Fine Tune Permissions"
"Finish","Beenden"
"Finished Date","Beendet Datum"
"First Name","Vorname"
"Fixed on Scroll","Fixed on Scroll"
"for","für"
"For FTP usernames and passwords, or whatever else you need","Für FTP Benutzernamen und Passwörter, oder was Sie sonst noch brauchen"
"For your reference, the fields are:","For your reference, the fields are:"
"Force full refresh of statistics","Kraft vollständige Aktualisierung der Statistik"
"Force refresh of item list","Force-Aktualisierung der Posten-Liste"
"Forgot Password","Forgot Password"
"Forgot password","Forgot password"
"Forgot Password?","Passwort vergessen?"
"Format for the recipients name. This is more of an advanced thing, the default here should be fine for everyone, but you could get fancy and use {COMPANY_NAME} if you like.","Format für den Empfänger Namen. Dies ist eher eine erweiterte Sache, sollte der Standard hier zu sein für alle in Ordnung, aber man könnte Lust bekommen und Nutzung {COMPANY_NAME}, wenn Sie mögen."
"Fr","Fr."
"Fri","Fr."
"Friday","Freitag"
"From","From"
"From https://coinbase.com/settings/api ","From https://coinbase.com/settings/api "
"From:","{0}FROM{/0}..."
"Full URL (eg: http://) to the picture to use for this link preview","Full URL (eg: http://) to the picture to use for this link preview"
"Full URL (including http://) to where the user is taken after confirming their double opt-in","Vollständige URL (einschließlich http://), wo der Benutzer nach der Bestätigung ihrer double opt-in übernommen"
"Full URL (including http://) to where the user is taken after confirming their unsubscription","Vollständige URL (einschließlich http://), wo der Benutzer nach der Bestätigung ihrer Abmeldung übernommen"
"Full URL (including http://) to where the user is taken after subscribing","Vollständige URL (einschließlich http://), wo der Benutzer nach der Anmeldung übernommen"
"Generate Credit Note","Generieren Gutschrift"
"Generating PDF","Erzeugen von PDF"
"Giving this user a password and login permissions will let them gain access to this system. Depending on the permissions you give them will decide what parts of the system they can access.","Geben Sie diesem Benutzer ein Passwort und Login Berechtigungen lassen ihnen den Zugang zu diesem System. Abhängig von den Berechtigungen, die Sie ihnen wird entscheiden, welche Teile des Systems sie zugreifen können."
"Google Calendar Integration","Google Calendar Integration"
"Google Checkout","Google Checkout"
"Google Checkout/Wallet Settings","Google Checkout / Wallet Einstellungen"
"Google Checkout/Wallet setup instructions:","Google Checkout / Wallet Installationsanweisungen:"
"GoogleCal","GoogleCal"
"Greater Than...","Greater Than..."
"Group","Gruppieren"
"group deleted successfully","group deleted successfully"
"Group Members","Gruppenmitglieder"
"Group Name","Gruppenname"
"Group:","Gruppe:"
"Groups","Gruppen"
"Has not run since: %s","%s: seitdem nicht ausführen"
"Hello and welcome to the Simple Newsletter system. Please choose a menu button from above.","Hallo und dem Simple Newsletter-System begrüßen zu dürfen. Bitte wählen Sie eine Menü-Taste von oben."
"Help","Hilfe"
"help","HILFE"
"Here are the URL's for <strong>Completed Finance Transactions</strong> (ie: ones you see in the <a href=""%s"">transaction listing</a> page).","Hier sind die URLs für <strong> Abgeschlossen Finance Transaktionen </ strong> (dh: die Sie sehen in der <a href=""%s""> Transaktion Liste </a> Seite)."
"Here are the URL's for <strong>Recurring Finance Transactions</strong> (ie: anything upcoming in the <a href=""%s"">recurring transactions listing</a> page).","Hier sind die URLs für <strong> Recurring Finance Transaktionen </ strong> (dh: anything kommenden in der <a href=""%s""> wiederkehrende Transaktionen Auflistung </a> Seite)."
"Here is a link to the newsletter subscription form. When people fill this out they will appear in the ""Members"" area:","Hier ist ein Link zum Newsletter Abo-Formular. Wenn die Menschen diese ausfüllen werden sie in der ""Mitglieder""-Bereich angezeigt:"
"Here is a link to the newsletter un-subscription form. People can click this and enter their email to be manually removed from receiving emails:","Hier ist ein Link zum Newsletter un-Anmeldeformular. Menschen können auf diese Schaltfläche klicken, und geben Sie ihre E-Mail manuell aus E-Mails erhalten entfernt werden:"
"Here is the URL for <strong>Weekly Finance Summary</strong> (ie: amount invoiced, earnt and spent at the end of each week).","Hier ist die URL für <strong> Weekly Finance Zusammenfassung </ strong> (dh: Rechnungsbetrag, earnt und verbrachte am Ende jeder Woche)."
"Here is the URL for <strong>Your Alerts</strong> (ie: the listing from the dashbaord).","Hier ist die URL für <strong> Ihre Benachrichtigungen </ strong> (dh: die Notierung an der dashbaord)."
"Here you can apply a before tax discount to this invoice. You can name this anything, eg: DISCOUNT, CREDIT, REFUND, etc..","Hier können Sie eine vor Steuern Abschlag auf dieser Rechnung gelten. Sie können den Namen dieses nichts, zB: DISCOUNT, CREDIT, RÜCKERSTATTUNG, etc.."
"Here you can apply a before tax discount to this job. You can name this anything, eg: DISCOUNT, CREDIT, REFUND, etc..","Here you can apply a before tax discount to this job. You can name this anything, eg: DISCOUNT, CREDIT, REFUND, etc.."
"Here you can apply a before tax discount to this quote. You can name this anything, eg: DISCOUNT, CREDIT, REFUND, etc..","Here you can apply a before tax discount to this quote. You can name this anything, eg: DISCOUNT, CREDIT, REFUND, etc.."
"Here you can copy and paste from Word, or simply type out your newsletter. The above template will be applied to this content. Note: if you copy and paste from another document or website, please use the 'Paste from Word' button or even better the 'Paste as Plain Text' button (otherwise your newsletter layout may break when you go to send it).","Hier können Sie kopieren und fügen Sie aus Word oder geben Sie einfach Ihre Newsletter. Die obige Vorlage wird auf diese Inhalte angewendet werden. Hinweis: Wenn Sie und fügen Sie aus einem anderen Dokument oder eine Website zu kopieren, benutzen Sie bitte den 'Paste aus Word' oder noch besser das ""Einfügen als Plain Text""-Taste (sonst Newsletter-Layout kann brechen, wenn Sie es senden zu gehen)."
"Here you can insert a previously saved set of default tasks.","Here you can insert a previously saved set of default tasks."
"Here you can save the current tasks as defaults to be used later, or insert a previously saved set of defaults.","Hier können Sie die aktuellen Aufgaben als Standardwerte später verwendet werden soll, oder legen Sie eine zuvor gespeicherte der Standardwerte gesetzt."
"Hi %s, and Welcome to %s","Hallo%s, und Willkommen bei%s"
"Hidden","Versteckt"
"Hide %s completed changes","Verstecken%s abgeschlossen Veränderungen"
"Hide 1 completed changes","Hide 1 abgeschlossen Veränderungen"
"Hide Completed Tasks","Ausblenden abgeschlossener Aufgaben"
"High","HIGH"
"Home Page","Startseite"
"Home Page:","Home Page:"
"Hourly Rate","Mit einem Stundensatz"
"Hourly Rate & Amount","Hourly Rate & Amount"
"Hours","Stunden"
"hours","Stunden"
"Hours Billed","Stunden abgerechnet"
"Hours Logged","Stunden protokolliert"
"Hours Logged for 02/01/2012 to 09/01/2012","Hours Logged for 02/01/2012 to 09/01/2012"
"Hours Logged for 05/26/2014 to 06/02/2014","Hours Logged for 05/26/2014 to 06/02/2014"
"Hours Logged for 06/02/2014 to 06/09/2014","Hours Logged for 06/02/2014 to 06/09/2014"
"Hours Logged for 2014/06/02 to 2014/06/09","Hours Logged for 2014/06/02 to 2014/06/09"
"Hours Logged for 2014/06/09 to 2014/06/16","Hours Logged for 2014/06/09 to 2014/06/16"
"Hours Logged for 2014/08/06","Hours Logged for 2014/08/06"
"Hours:","Hours:"
"Hours/Quantity","Stunden / Menge"
"How many bounces before we unsubscribe this member","Wie viele prallt, bevor wir dieses Element abbestellen"
"How many days after the invoice is created should the due date be set?","How many days after the invoice is created should the due date be set?"
"How many days after the invoice is overdue is the automated email sent (set to 0 will send on the date the invoice is due)","How many days after the invoice is overdue is the automated email sent (set to 0 will send on the date the invoice is due)"
"How many days after the last automatic overdue reminder is the overdue reminder re-sent automatically (set to 0 to disable this option)","How many days after the last automatic overdue reminder is the overdue reminder re-sent automatically (set to 0 to disable this option)"
"How many days prior to the renewal date will an invoice be generated.","How many days prior to the renewal date will an invoice be generated."
"How many emails the server will try to sent at the same time. Setting this too high may get you banned by your hosting provider.","Wie viele E-Mails wird der Server versuchen, zur gleichen Zeit gesendet. Setzen dieser zu hoch kann erhalten Sie von Ihrem Hosting-Provider verboten."
"How many emails you can send per day, hour or minute","Wie viele E-Mails können Sie pro Tag senden, Stunden oder Minuten"
"How many emails you can send per day, hour or minute. Set to 0 for unlimited emails.","Wie viele E-Mails können Sie pro Tag, Stunde oder Minute zu senden. Auf 0 setzen für unbegrenzte E-Mails."
"How to","How to"
"hr","hr"
"hrs","Std."
"I D document","I D document"
"Icon","Icon"
"If a customer fills in this form and the email address already exists in the system then it can update the existing entry instead of creating a new customer entry. If updating existing entry then the new customer name will be applied, which could differ from existing company name. Set this option to ""Always Create New Customer Entry"" if you do not want a customer to be able to update their existing details.","Wenn ein Kunde füllt das Formular aus und die E-Mail-Adresse ist bereits im System vorhanden ist, dann kann aktualisieren Sie den vorhandenen Eintrag anstatt einen neuen Kunden Eintrag. Wenn die Aktualisierung vorhandener Eintrag dann der neue Name des Kunden angewendet werden, die aus den bestehenden Firmennamen abweichen. Setzen Sie diese Option auf ""Immer Neuen Kunden anlegen Entry"", wenn Sie nicht wollen, dass ein Kunde in der Lage sein, ihre bestehenden Daten zu aktualisieren."
"If the customer is given a credit here you will have an option to apply this credit to an invoice. If a customer over pays an invoice you will be prompted to add that overpayment as credit onto their account.","Wenn der Kunde einen Kredit gegeben wird hier haben Sie eine Option, um diesen Kredit zu einer Rechnung gelten. Wenn ein Kunde über zahlt eine Rechnung, werden Sie aufgefordert, diese Überzahlung als Kredit auf ihr Konto hinzuzufügen."
"If the invoice has been cancelled set the date here. Payment reminders for this invoice will no longer be generated.","Wenn die Rechnung storniert wurde das Datum hier. Mahnungen für diese Rechnung nicht mehr erzeugt werden."
"If the Nothing (default) option does not work, try using SSL or TLS.","If the Nothing (default) option does not work, try using SSL or TLS."
"If the user is a staff member they will display in the staff drop down list.","If the user is a staff member they will display in the staff drop down list."
"If this field is searchable it will display in the main search bar. Also quick search will return results matching this field. Note: Making every field searchable will slow down the ""Quick Search"".","If this field is searchable it will display in the main search bar. Also quick search will return results matching this field. Note: Making every field searchable will slow down the ""Quick Search""."
"If this is enabled then it will work out the fee in reverse. Enable this option in order to receive the correct amount from PayPal if you have set 2.9%% and 0.30 above.","If this is enabled then it will work out the fee in reverse. Enable this option in order to receive the correct amount from PayPal if you have set 2.9%% and 0.30 above."
"If this is ticked then by default newly created invoices will be sent automatic overdue notices. This can be disabled/enabled per invoice. See the ""Auto Overdue Email"" option near ""Due Date"".","If this is ticked then by default newly created invoices will be sent automatic overdue notices. This can be disabled/enabled per invoice. See the ""Auto Overdue Email"" option near ""Due Date""."
"If this is ticked then this note will be available to the customer and will be included in the {INVOICE_NOTES} shortcode in the invoice template.","Wenn diese Option eingeschaltet ist dann diese Note wird dem Kunden zur Verfügung und wird in der {INVOICE_NOTES} Shortcode in der Rechnung Vorlage aufgenommen werden."
"If this message is private only staff members will be able to see it. This message will not be sent or visible to the customer.","If this message is private only staff members will be able to see it. This message will not be sent or visible to the customer."
"If this option is enabled you can tell when users see the images in your newsletters","Wenn diese Option aktiviert ist können Sie sagen, wenn der Benutzer die Bilder zu sehen in Ihrem Mitteilungsblatt"
"If this option is selected then the CRON job will automatically email the automatically generated invoice to the subscribed Customer/Member","If this option is selected then the CRON job will automatically email the automatically generated invoice to the subscribed Customer/Member"
"If this option is selected then the CRON job will automatically renew this subscription and generate a new invoice. It will only renew if the previous invoice has been paid (to stop multiple outstanding invoices)","If this option is selected then the CRON job will automatically renew this subscription and generate a new invoice. It will only renew if the previous invoice has been paid (to stop multiple outstanding invoices)"
"If you find a word that does not translate correctly please report it to support.","If you find a word that does not translate correctly please report it to support."
"If you give this link to a user (or bookmark it for yourself) then it will log in automatically. To re-set an auto-login link simply change your password to something new.","Wenn Sie diesen Link an einen Benutzer (oder ein Lesezeichen es für sich selbst) geben, dann wird es sich automatisch. Neu eingestellt eine Auto-Login-Link einfach Ihr Passwort ändern, um etwas Neues."
"If you have created or improved on a translation please click Export above and share it with support.","If you have created or improved on a translation please click Export above and share it with support."
"If you have duplicate words in the translation list click this button to remove them. Make a backup first!","If you have duplicate words in the translation list click this button to remove them. Make a backup first!"
"If you have the FAQ module installed this will show a drop down list of products and commoon support questions before the user creates a support ticket.","Wenn haben Sie das FAQ-Modul installiert wird dies zeigen eine Drop-Down-Liste der Produkte und commoon Support-Fragen, bevor der Benutzer erstellt ein Support-Ticket."
"If you want to display a list from another Customer Data Form here, choose it from the dropdown. If you choose a sub list then NO FIELDS WILL DISPLAY HERE, only the sub list.","If you want to display a list from another Customer Data Form here, choose it from the dropdown. If you choose a sub list then NO FIELDS WILL DISPLAY HERE, only the sub list."
"If your customer needs a deafult tax rate that is different from the system default please enter it here.","Wenn Ihr Kunde braucht eine deafult Steuersatz, der sich von dem System standardmäßig geben Sie es bitte hier."
"Image","Bild"
"Import","Importieren"
"Import CSV","Import CSV"
"Import Customers","Import Kunden"
"Import Data: %s","Daten importieren:%s"
"Import Data: Customers","Import Data: Customers"
"Import Data: Products","Daten importieren: Produkte"
"Import Data: Websites","Import Data: Websites"
"Import Jobs","Import Jobs"
"Import Leads","Import Leads"
"Import Members","Import Mitglieder"
"Import Products","Import Produkte"
"Import Quotes","Import Quotes"
"Import Tasks","Import Aufgaben"
"Import Websites","Import Websites"
"in %s days","in %s Tage"
"In Progress","In Bearbeitung"
"Inbox","Inbox"
"Include http:// in your homepage address","Include http:// in your homepage address"
"Income","Einkommen"
"Income for 30/01/2012 to 06/02/2012","Income for 30/01/2012 to 06/02/2012"
"Income/Credit","Erträge / Credit"
"Income/Expense","Erträge / Aufwendungen"
"Incomplete","Unvollständig"
"Incomplete Job","Unvollständige Job"
"incremental","incremental"
"Info","Info"
"Insert","Einfügen"
"Insert Image:","Bild einfügen:"
"Install Count","Installieren Graf"
"Invalid username or password, please try again.","Invalid username or password, please try again."
"Investment Amount","Investment Amount"
"Invoicable Amount","Invoicable Amount"
"Invoicable:","Invoicable:"
"Invoice","Rechnung"
"Invoice #","Rechnungsnr."
"Invoice #%s for %s on %s (paid on %s)","Rechnung #%s für%s auf%s (bezahlt%s)"
"Invoice %s","Invoice %s"
"Invoice Cancelled","Rechnung Cancelled"
"Invoice Date","Invoice Date"
"Invoice Emails","Invoice Emails"
"Invoice Finances:","Invoice Finances:"
"Invoice items","Rechnungspositionen"
"Invoice Items","Invoice Items"
"Invoice Not Sent","Rechnung nicht gesendet"
"Invoice Notes","Rechnung Hinweise"
"Invoice Number","Rechnungsnummer"
"Invoice Number:","Rechnungsnummer:"
"Invoice Overdue","Rechnung überfällig"
"INVOICE PAID","INVOICE PAID"
"Invoice Payment","Rechnung Zahlung"
"Invoice Payment Due","Rechnung Zahlungstermine"
"Invoice payment history","Rechnung Zahlung Geschichte"
"Invoice Payment History","Invoice Payment History"
"Invoice Payment Overdue","Invoice Payment Overdue"
"Invoice Payment: ","Invoice Payment: "
"Invoice Prefix","Rechnung Prefix"
"Invoice Prior","Invoice Prior"
"Invoice Refund","Invoice Refund"
"Invoice Renewal Pending","Rechnung Verlängerungsantrag"
"Invoice saved successfully","Invoice saved successfully"
"Invoice Settings","Invoice Settings"
"Invoice Total","Rechnungsbetrag"
"Invoice: ","Invoice: "
"Invoice: #%s","Rechnung: #%s"
"Invoiced","Fakturiert"
"Invoiced:","In Rechnung gestellt:"
"Invoices","Rechnungen"
"Invoices <span class='label label-info'>1</span> ","Invoices <span class='label label-info'>1</span> "
"Invoices <span class='label label-info'>12</span> ","Invoices <span class='label label-info'>12</span> "
"Invoices <span class='label label-info'>2</span> ","Invoices <span class='label label-info'>2</span> "
"Invoices <span class='label label-info'>3</span> ","Invoices <span class='label label-info'>3</span> "
"Invoices <span class='label label-info'>4</span> ","Invoices <span class='label label-info'>4</span> "
"Invoices <span class='label label-info'>51</span> ","Invoices <span class='label label-info'>51</span> "
"Invoices <span class='label label-info'>52</span> ","Invoices <span class='label label-info'>52</span> "
"Invoices <span class='label label-info'>6</span> ","Invoices <span class='label label-info'>6</span> "
"Invoices <span class='label label-info'>7</span> ","Invoices <span class='label label-info'>7</span> "
"Invoices <span class='label label-info'>8</span> ","Invoices <span class='label label-info'>8</span> "
"Invoices <span class='menu_label'>1</span> ","Invoices <span class='menu_label'>1</span> "
"Invoices <span class='menu_label'>12</span> ","Invoices <span class='menu_label'>12</span> "
"Invoices <span class='menu_label'>2</span> ","Invoices <span class='menu_label'>2</span> "
"Invoices <span class='menu_label'>3</span> ","Invoices <span class='menu_label'>3</span> "
"Invoices <span class='menu_label'>4</span> ","Invoices <span class='menu_label'>4</span> "
